Point ID,vtkOriginalPointIds,normals_0,normals_1,normals_2,normals_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,scalars
0,297,0.0851275,-0.968275,0.234938,1,-35.2136,41.2013,1291.49,1292.63,0
1,299,-0.177026,-0.961489,0.210239,1,35.6005,40.0753,1291.49,1292.6,0
2,264,0.037609,-0.994427,-0.0984965,1,71.0076,34.2049,1256.08,1258.55,0
3,265,0.468412,-0.849329,-0.243373,1,106.415,50.2513,1226.54,1232.17,0
4,270,0.837212,-0.497956,-0.226088,1,141.822,85.6583,1232.51,1243.6,0
5,278,0.984021,-0.109315,-0.140543,1,169.091,156.472,1256.08,1277.03,0
6,458,-0.457541,-0.811427,0.363653,1,-176.842,142.394,1397.71,1416.03,0
7,460,0.348642,-0.879243,0.324623,1,177.229,127.861,1397.71,1414.69,0
8,93,-0.661598,-0.741627,0.110754,0.999994,-106.028,61.9259,1044.53,1051.72,0
9,7,0.787367,-0.613446,0.0611271,1,139.806,85.6583,1043.64,1056.44,0